이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
한동희,20, 3B,2.74,2.43,0.31,135,531,526,461,62,128,22,0,17,201,67,0,3,57,5,0,97,15,5,3,0.278,0.361,0.436,0.797,0.003,105.0
손아섭,21, RF,2.73,3.89,-1.15,139,610,605,542,88,173,29,2,3,215,58,11,6,61,3,3,67,15,3,1,0.319,0.390,0.397,0.787,0.016,116.6
노진혁,23, SS,2.56,1.81,0.75,113,390,386,334,43,86,26,1,4,126,51,7,2,45,3,1,84,3,4,4,0.257,0.347,0.377,0.724,-0.001,103.4
민병헌,19, CF,2.52,3.49,-0.97,101,420,419,369,52,112,24,2,9,167,43,13,6,42,5,0,55,9,1,3,0.304,0.379,0.453,0.832,0.032,131.1
정훈,20, 1B,2.29,3.17,-0.87,111,476,474,410,72,121,19,1,11,175,58,11,1,56,4,0,85,8,2,4,0.295,0.382,0.427,0.809,0.018,116.2
김준태,20, C,2.18,0.71,1.48,128,369,366,306,38,69,12,2,5,100,43,2,2,56,1,0,64,5,3,3,0.225,0.344,0.327,0.671,-0.026,83.0
한동희,22, 3B,2.14,3.38,-1.23,129,499,497,456,43,140,27,0,14,209,65,0,0,33,6,2,64,15,0,4,0.307,0.359,0.458,0.817,0.021,120.9
고승민,22, RF,2.05,1.89,0.15,92,262,260,234,31,74,15,1,5,106,30,1,4,25,0,0,47,6,2,1,0.316,0.381,0.453,0.834,0.028,127.2
안치홍,23, 2B,1.99,2.76,-0.77,121,494,487,425,57,124,20,1,8,170,63,3,3,49,10,3,53,14,5,5,0.292,0.374,0.400,0.774,0.011,113.0
박승욱,23, 2B,1.92,1.86,0.06,123,338,327,290,37,83,18,3,0,107,30,15,4,35,1,0,87,5,11,1,0.286,0.364,0.369,0.733,0.005,108.0
이대호,20, DH,1.89,3.05,-1.16,144,611,606,542,67,158,27,0,20,245,110,1,0,53,5,9,68,21,0,11,0.292,0.354,0.452,0.806,0.005,106.9
안중열,21, C,1.86,0.73,1.13,58,157,154,125,19,29,5,0,3,43,16,0,0,27,1,0,25,1,3,1,0.232,0.370,0.344,0.714,0.002,104.7
정보근,23, C,1.86,1.12,0.74,55,101,97,81,11,27,6,1,1,38,13,1,0,14,1,0,13,1,4,1,0.333,0.433,0.469,0.902,0.066,157.4
레이예스,24, RF,1.85,2.21,-0.36,60,262,262,237,32,79,14,2,6,115,52,4,0,17,1,0,34,6,0,7,0.333,0.370,0.485,0.855,0.042,129.7
