이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
강민국,21, 3B,0.075,1,0,3.0,3,0,3,0,100.0,9.00,0.78,,0.00,,,,,,0.78,6.27,0.00,0.78,0.075
이시원,22, LF,0.069,14,0,18.1,3,3,0,0,100.0,1.47,0.67,0.02,0.03,,,,,,0.71,3.32,-0.01,0.70,0.070
김태훈,21, LF,0.066,5,4,22.0,5,4,1,0,100.0,2.05,-0.12,0.89,0.02,,,,,,0.79,2.60,-0.10,0.69,0.076
권동진,21, 3B,0.066,2,0,5.0,3,1,2,0,100.0,5.40,0.32,,0.00,0.37,,,,,0.69,1.16,0.00,0.69,0.066
김병희,23, 3B,0.066,3,1,14.0,3,0,3,0,100.0,1.93,0.63,,0.05,,,,,,0.68,19.55,0.00,0.68,0.066
장준원,22, 3B,0.062,7,2,20.2,7,2,5,0,100.0,3.05,0.30,,0.02,0.20,0.12,,,,0.63,2.60,0.00,0.63,0.062
강백호,19, 1B,0.060,1,0,3.0,2,1,1,0,100.0,6.00,0.63,,0.00,,,,,,0.63,0.79,-0.02,0.61,0.062
황재균,23, SS,0.060,2,0,5.0,4,1,3,0,100.0,7.20,0.23,,0.02,0.31,,,,,0.56,0.74,0.06,0.62,0.054
손민석,23, 2B,0.058,6,3,27.0,18,6,12,0,100.0,6.00,0.41,,0.10,0.00,,,,,0.51,8.18,0.09,0.60,0.050
이대형,19, CF,0.057,1,0,5.0,2,2,0,0,100.0,3.60,0.54,0.04,0.01,,,,,,0.59,4.70,0.00,0.59,0.057
김준태,21, C,0.055,7,1,16.0,17,13,3,1,94.1,9.00,0.00,,-0.45,,,0.43,-0.22,0.64,0.40,1.00,0.17,0.57,0.039
송민섭,20, RF,0.054,55,0,85.1,16,15,1,0,100.0,1.69,0.40,0.30,0.12,,,,,,0.82,1.03,-0.20,0.62,0.072
천성호,20, 3B,0.054,20,5,61.1,19,4,15,0,100.0,2.79,1.16,,0.04,-0.58,,,,,0.61,1.34,0.00,0.61,0.054
강민국,19, 3B,0.053,13,1,31.2,12,6,5,1,91.7,3.13,0.65,,0.03,-0.14,,,,,0.54,1.34,0.00,0.54,0.053
유한준,20, LF,0.052,2,2,9.0,4,4,0,0,100.0,4.00,0.64,0.00,0.01,,,,,,0.65,0.79,-0.06,0.59,0.058
박경수,23, 2B,0.048,101,52,503.0,301,118,179,4,98.7,5.31,-2.88,,1.31,0.03,,,,,-1.54,-2.07,2.04,0.50,-0.149
안치영,24, CF,0.048,14,12,91.0,22,22,0,0,100.0,2.18,0.60,-0.25,0.15,,,,,,0.50,2.34,0.00,0.50,0.048
조용호,23, LF,0.047,11,2,31.0,6,5,1,0,100.0,1.74,-0.64,1.21,0.06,,,,,,0.62,1.42,-0.13,0.49,0.060
심우준,19, 2B,0.047,7,3,31.1,19,6,12,1,94.7,5.17,0.34,,0.04,,,,,,0.38,0.40,0.10,0.48,0.038
이호연,24, 3B,0.046,7,3,26.0,2,0,2,0,100.0,0.69,0.38,,0.10,,,,,,0.48,4.08,0.00,0.48,0.046
