이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
김병휘,21, 2B,0.03,-0.03,0.06,13,11,11,10,5,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0.200,0.273,0.200,0.473,-0.100,22.2
예진원,19, CF,0.01,0.03,-0.02,2,8,8,6,1,1,1,0,0,2,1,0,0,2,0,0,3,0,0,0,0.167,0.375,0.333,0.708,-0.009,95.9
이주형,21, LF,0.01,0.00,0.00,5,11,11,10,1,1,0,0,1,4,3,0,0,1,0,0,7,0,0,0,0.100,0.182,0.400,0.582,-0.044,67.7
송성문,19, 3B,-0.01,-0.12,0.11,103,335,331,308,33,70,12,5,3,101,34,2,1,19,0,0,53,7,4,4,0.227,0.269,0.328,0.597,-0.054,58.6
김태진,24, 2B,-0.02,-0.13,0.12,14,26,26,25,3,6,1,0,0,7,1,0,0,1,0,1,1,0,0,0,0.240,0.269,0.280,0.549,-0.089,30.4
주효상,19, C,-0.02,-0.05,0.03,18,30,30,29,3,6,2,1,0,10,5,0,0,1,0,0,7,0,0,0,0.207,0.233,0.345,0.578,-0.048,63.3
김수환,21, 1B,-0.02,0.16,-0.18,13,44,44,41,5,9,2,0,2,17,5,0,0,2,0,0,17,2,0,1,0.220,0.250,0.415,0.665,-0.014,91.8
고영우,24, 3B,-0.03,0.40,-0.43,40,128,127,114,10,35,4,0,0,39,13,0,0,13,0,0,31,0,1,0,0.307,0.378,0.342,0.720,-0.007,92.7
이병규,23, 1B,-0.04,-0.09,0.05,7,17,17,17,3,4,0,0,0,4,2,0,0,0,0,0,4,0,0,0,0.235,0.235,0.235,0.470,-0.113,8.0
김웅빈,20, 3B,-0.05,0.92,-0.96,73,235,229,207,25,57,13,0,8,94,31,1,0,17,3,1,65,6,5,3,0.275,0.335,0.454,0.789,-0.009,96.2
