이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
김웅빈,20, 3B,-0.067,8,3,35.0,14,3,8,3,78.6,2.83,-0.40,,0.02,-0.39,,,,,-0.76,-1.50,0.00,-0.76,-0.067
박주홍,22, LF,-0.073,10,8,59.0,15,15,0,0,100.0,2.29,-0.58,0.00,0.09,,,,,,-0.49,-3.33,-0.26,-0.75,-0.047
이정후,19, LF,-0.075,76,64,537.2,127,124,2,1,99.2,2.11,1.34,0.31,0.52,,,,,,2.17,2.23,-2.93,-0.76,0.212
김태진,22, LF,-0.077,10,8,64.0,13,13,0,0,100.0,1.83,-0.46,-0.06,0.10,,,,,,-0.42,-0.79,-0.37,-0.79,-0.041
예진원,19, RF,-0.078,1,1,9.0,2,2,0,0,100.0,2.00,-0.46,-0.31,0.02,,,,,,-0.76,-54.55,-0.04,-0.80,-0.074
문찬종,21, 3B,-0.080,2,1,10.0,3,0,3,0,100.0,2.70,-0.85,,0.01,,,,,,-0.84,-9.29,0.00,-0.84,-0.080
송성문,21, 1B,-0.081,3,2,19.0,25,24,1,0,100.0,11.84,-0.69,,0.02,,,,,,-0.67,-1.47,-0.18,-0.85,-0.064
신준우,21, SS,-0.084,28,16,129.0,71,22,44,5,93.0,4.60,-1.68,,0.21,-0.27,,,,,-1.74,-4.47,0.86,-0.88,-0.166
김규민,19, LF,-0.084,82,52,509.0,122,116,5,1,99.2,2.14,0.93,0.50,0.00,,,,,,1.42,2.18,-2.28,-0.86,0.139
허정협,19, RF,-0.086,7,4,30.0,7,7,0,0,100.0,2.10,-1.10,0.29,0.05,,,,,,-0.76,-2.95,-0.12,-0.88,-0.074
이주형,23, LF,-0.087,1,1,9.0,2,2,0,0,100.0,2.00,-0.87,,0.02,,,,,,-0.86,-1.78,-0.04,-0.90,-0.083
