Game Date,Away Team,Away Lineup,Home Team,Home Lineup,Away Score,Home Score
20190620,KIA,"이명기, 김주찬, 터커, 최형우, 이창진, 류승현, 김선빈, 한승택, 박찬호, 홍건희",SK,"노수광, 한동민, 최정, 정의윤, 박정권, 김강민, 이재원, 김성현, 안상현, 이승진",5 , 8
20190621,LG,"이천웅, 정주현, 이형종, 김현수, 조셉, 채은성, 오지환, 유강남, 구본혁, 이우찬",KIA,"김주찬, 박찬호, 안치홍, 최형우, 이창진, 터커, 김선빈, 한승택, 유재신, 터너",8 , 9
20190621,SK,"김강민, 한동민, 최정, 정의윤, 로맥, 고종욱, 이재원, 김성현, 안상현, 소사",두산,"정수빈, 페르난데스, 박건우, 김재환, 오재일, 박세혁, 김재호, 류지혁, 오재원, 유희관",1 , 14
20190621,KT,"송민섭, 오태곤, 강백호, 유한준, 로하스, 박경수, 황재균, 안승한, 심우준, 쿠에바스",NC,"박민우, 김태진, 이원재, 양의지, 박석민, 이우성, 모창민, 지석훈, 이인혁, 구창모",0 , 5
20190621,한화,"정은원, 강경학, 호잉, 이성열, 김태균, 장진혁, 최재훈, 변우혁, 노시환, 채드벨",삼성,"김상수, 구자욱, 김헌곤, 러프, 최영진, 이원석, 이학주, 강민호, 박해민, 맥과이어",5 , 2
20190621,롯데,"민병헌, 손아섭, 전준우, 이대호, 윌슨, 오윤석, 정훈, 나종덕, 신본기, 서준원",키움,"서건창, 김하성, 이정후, 샌즈, 김규민, 장영석, 임병욱, 박동원, 김혜성, 요키시",7 , 4
20190622,LG,"이천웅, 정주현, 이형종, 김현수, 조셉, 채은성, 오지환, 이성우, 구본혁, 류제국",KIA,"최원준, 박찬호, 터커, 최형우, 이창진, 류승현, 김선빈, 신범수, 황윤호, 차명진",3 , 2
20190622,SK,"노수광, 한동민, 최정, 정의윤, 로맥, 고종욱, 이재원, 나주환, 김성현, 문승원",두산,"정수빈, 페르난데스, 박건우, 김재환, 최주환, 오재일, 허경민, 장승현, 류지혁, 최원준",0 , 3
20190622,KT,"김민혁, 박승욱, 강백호, 유한준, 로하스, 박경수, 황재균, 장성우, 심우준, 알칸타라",NC,"박민우, 김태진, 박석민, 양의지, 이원재, 모창민, 권희동, 지석훈, 이상호, 이재학",7 , 6
20190622,한화,"강경학, 장진혁, 정은원, 이성열, 호잉, 지성준, 변우혁, 노시환, 유장혁, 김범수",삼성,"김상수, 박해민, 구자욱, 러프, 이원석, 최영진, 송준석, 강민호, 김호재, 원태인",0 , 5
20190622,롯데,"손아섭, 허일, 전준우, 이대호, 윌슨, 정훈, 한동희, 나종덕, 배성근, 장시환",키움,"김규민, 김하성, 샌즈, 박병호, 장영석, 임병욱, 박동원, 송성문, 이지영, 최원태",1 , 4
20190623,LG,"이천웅, 정주현, 채은성, 김현수, 유강남, 오지환, 전민수, 구본혁, 김용의, 차우찬",KIA,"김주찬, 박찬호, 터커, 나지완, 이창진, 김선빈, 홍재호, 한승택, 유재신, 양현종",7 , 0
20190623,SK,"김강민, 한동민, 최정, 정의윤, 로맥, 고종욱, 이재원, 나주환, 김성현, 박종훈",두산,"박건우, 페르난데스, 최주환, 김재환, 오재일, 박세혁, 김재호, 국해성, 류지혁, 이용찬",2 , 3
20190623,KT,"김민혁, 오태곤, 강백호, 유한준, 로하스, 박경수, 윤석민, 장성우, 심우준, 김민수",NC,"박민우, 김태진, 박석민, 양의지, 이원재, 모창민, 권희동, 지석훈, 이상호, 최성영",2 , 4
20190623,한화,"정은원, 최윤석, 호잉, 이성열, 김태균, 정근우, 최재훈, 장진혁, 노시환, 문동욱",삼성,"김상수, 구자욱, 김헌곤, 러프, 이원석, 이학주, 최영진, 강민호, 박해민, 헤일리",10 , 5
20190623,롯데,"손아섭, 조홍석, 전준우, 이대호, 윌슨, 정훈, 한동희, 나종덕, 배성근, 레일리",키움,"김규민, 김하성, 샌즈, 박병호, 장영석, 임병욱, 이지영, 김혜성, 임지열, 신재영",1 , 2
20190625,LG,"이천웅, 정주현, 이형종, 김현수, 채은성, 유강남, 오지환, 김용의, 구본혁, 윌슨",SK,"고종욱, 한동민, 최정, 정의윤, 로맥, 김강민, 이재원, 나주환, 김성현, 김광현",8 , 3
20190625,키움,"김규민, 김하성, 이정후, 박병호, 장영석, 박동원, 임병욱, 이지영, 송성문, 브리검",KIA,"이명기, 박찬호, 터커, 최형우, 이창진, 김주찬, 김선빈, 신범수, 홍재호, 윌랜드",3 , 7
20190625,삼성,"김상수, 구자욱, 김헌곤, 러프, 이원석, 이학주, 김동엽, 강민호, 박해민, 백정현",두산,"허경민, 페르난데스, 박건우, 김재환, 김재호, 오재일, 박세혁, 오재원, 백동훈, 이영하",2 , 11
20190625,롯데,"민병헌, 손아섭, 전준우, 이대호, 윌슨, 한동희, 김동한, 나종덕, 신본기, 박세웅",KT,"김민혁, 오태곤, 강백호, 유한준, 로하스, 박경수, 윤석민, 장성우, 심우준, 김민",8 , 8
20190625,NC,"박민우, 이상호, 이원재, 양의지, 모창민, 권희동, 박석민, 지석훈, 김태진, 루친스키",한화,"정은원, 강경학, 호잉, 이성열, 김태균, 정근우, 송광민, 최재훈, 장진혁, 서폴드",14 , 3
20190626,LG,"이천웅, 정주현, 이형종, 김현수, 조셉, 채은성, 오지환, 유강남, 구본혁, 켈리",SK,"고종욱, 한동민, 최정, 로맥, 정의윤, 이재원, 김강민, 나주환, 김성현, 산체스",7 , 4
